,drugs,match_substructures?
53,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,False
54,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,False
55,Cc1ncc(CO)c(CO)c1O,False
56,O=C(O)CCCCC1CCSS1,False
57,CC[C@H](C)[C@H](N)C(=O)O,False
58,COC(=O)[C@H](Cc1ccccc1)N=C(O)[C@@H](N)CC(=O)O,False
59,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,False
60,CC1=CC(=O)c2ccccc2C1=O,False
61,Nc1ncnc2c1ncn2[C@H]1O[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,False
62,O=C(O)[C@@H]1CCCN1,True
63,Nc1nc[nH]c2ncnc1-2,False
64,N=C(O)C[C@H](N)C(=O)O,False
65,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,False
66,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,False
67,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,False
68,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,False
69,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,False
70,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,False
71,NCC(CC(=O)O)c1ccc(Cl)cc1,False
72,CC(N)Cc1ccccc1,False
73,CSCC[C@H](N=C(O)[C@H](Cc1c[nH]c2ccccc12)N=C(O)CCN=C(O)OCC(C)C)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](Cc1ccccc1)C(=N)O,False
74,CN1CCCC1c1cccnc1,False
75,CC1O[C@@]2(CS1)CN1CCC2CC1,True
76,OC1=Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,False
77,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,False
78,CC(C)C[C@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)c1cnccn1)B(O)O,False
79,C#CC(O)(/C=C/Cl)CC,False
80,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O.O,False
81,CC(C)(N)Cc1ccccc1,False
82,CC(C)NCCCC1(C(=N)O)c2ccccc2-c2ccccc21,False
83,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,False
84,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,False
85,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,False
86,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,False
87,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)N=C3O)cc1)O2,False
88,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](N=C(C)O)[C@@H](N)C1,False
89,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,False
90,CC1=C2N=C(C=C3N=C(C(C)=C4N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(O)=NC[C@@H](C)OP(=O)(O)O[C@H]1[C@@H](O)[C@@H]([n+]6c[nH]c7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(=N)[O-])[C@@](C)(CC(=N)O)[C@@H]4CCC(=N)[O-])[C@@](C)(CC(=N)O)[C@@H]3CCC(=N)[O-])C(C)(C)[C@@H]2CCC(=N)[O-].O.[Co+3],True
91,Cn1c(=O)c2c(ncn2C)n(C)c1=O,False
92,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,False
93,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,False
94,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,False
95,CCc1nc(=N)[nH]c(N)c1-c1ccc(Cl)cc1,False
96,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,False
97,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,False
98,Clc1ccccc1CN1CCc2sccc2C1,False
99,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,False
